#  BL207                                           
#  alpha =   1.0000
#  Mach  =   0.0000
#  Reyn  =   250000
#  Ncrit =   9.0000
#
#    x           cf
    0.00000      0.276489E-01
   0.351000E-03  0.224931E-01
   0.773000E-03  0.376596E-01
   0.186300E-02  0.395774E-01
   0.330300E-02  0.464165E-01
   0.513300E-02  0.351518E-01
   0.734100E-02  0.205864E-01
   0.977500E-02  0.199301E-01
   0.124010E-01  0.182753E-01
   0.152230E-01  0.165032E-01
   0.182530E-01  0.146400E-01
   0.215010E-01  0.127507E-01
   0.249780E-01  0.113431E-01
   0.286950E-01  0.106101E-01
   0.326740E-01  0.993704E-02
   0.369450E-01  0.925436E-02
   0.415390E-01  0.851107E-02
   0.464930E-01  0.782714E-02
   0.518500E-01  0.729832E-02
   0.576640E-01  0.695835E-02
   0.640000E-01  0.662731E-02
   0.709370E-01  0.633772E-02
   0.785630E-01  0.606171E-02
   0.869850E-01  0.583932E-02
   0.963170E-01  0.561499E-02
   0.106669      0.540755E-02
   0.118124      0.518298E-02
   0.130719      0.494976E-02
   0.144434      0.467027E-02
   0.159235      0.438726E-02
   0.175114      0.409008E-02
   0.192030      0.379090E-02
   0.209886      0.349693E-02
   0.228541      0.321521E-02
   0.247837      0.297275E-02
   0.267632      0.277399E-02
   0.287821      0.259825E-02
   0.308322      0.242225E-02
   0.329078      0.225462E-02
   0.350035      0.212390E-02
   0.371127      0.205395E-02
   0.392291      0.201163E-02
   0.413478      0.198720E-02
   0.434653      0.195259E-02
   0.455796      0.189527E-02
   0.476899      0.179600E-02
   0.497967      0.164062E-02
   0.519012      0.142376E-02
   0.540066      0.115319E-02
   0.561190      0.840665E-03
   0.582451      0.537418E-03
   0.603841      0.303428E-03
   0.625260      0.142218E-03
   0.646633      0.773553E-05
   0.667990     -0.110377E-03
   0.689407     -0.190074E-03
   0.710914     -0.229243E-03
   0.732502     -0.240794E-03
   0.754161     -0.239351E-03
   0.775895     -0.234273E-03
   0.797697     -0.228273E-03
   0.819540     -0.224138E-03
   0.841377     -0.222247E-03
   0.863153     -0.201264E-03
   0.884809      0.244897E-03
   0.906276      0.995396E-03
   0.927469      0.192084E-02
   0.948233      0.273143E-02
   0.968357      0.327590E-02
   0.987648      0.372020E-02
    1.00000      0.231362E-02
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05935       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15634       0.00000    
    1.18902       0.00000    
    1.22598       0.00000    
    1.26779       0.00000    
    1.31508       0.00000    
    1.36857       0.00000    
    1.42906       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66242       0.00000    
    1.76143       0.00000    
    1.87342       0.00000    
    2.00008       0.00000    

   0.115300E-02  0.191639E-01
   0.257900E-02  0.187376E-01
   0.436900E-02  0.356522E-01
   0.653100E-02  0.191914E-01
   0.894900E-02  0.185153E-01
   0.115160E-01  0.186374E-01
   0.142450E-01  0.167063E-01
   0.171480E-01  0.145617E-01
   0.202380E-01  0.125125E-01
   0.235220E-01  0.106822E-01
   0.270110E-01  0.944331E-02
   0.307170E-01  0.862852E-02
   0.346660E-01  0.776529E-02
   0.388860E-01  0.693041E-02
   0.434070E-01  0.620859E-02
   0.482680E-01  0.564316E-02
   0.535080E-01  0.546103E-02
   0.591810E-01  0.552599E-02
   0.653460E-01  0.558552E-02
   0.720750E-01  0.558519E-02
   0.794570E-01  0.536807E-02
   0.876030E-01  0.504749E-02
   0.966400E-01  0.469680E-02
   0.106698      0.441807E-02
   0.117882      0.418610E-02
   0.130259      0.397527E-02
   0.143830      0.378991E-02
   0.158574      0.361135E-02
   0.174493      0.346937E-02
   0.191551      0.333548E-02
   0.209632      0.323257E-02
   0.228549      0.313990E-02
   0.248098      0.305015E-02
   0.268118      0.295220E-02
   0.288498      0.287135E-02
   0.309139      0.283892E-02
   0.329942      0.286457E-02
   0.350798      0.293342E-02
   0.371581      0.306641E-02
   0.392219      0.314717E-02
   0.412744      0.306664E-02
   0.433246      0.287861E-02
   0.453768      0.269752E-02
   0.474290      0.254350E-02
   0.494789      0.239515E-02
   0.515276      0.222617E-02
   0.535779      0.204624E-02
   0.556299      0.187640E-02
   0.576813      0.171305E-02
   0.597313      0.152671E-02
   0.617833      0.129876E-02
   0.638414      0.105017E-02
   0.659046      0.808960E-03
   0.679686      0.569275E-03
   0.700331      0.314316E-03
   0.721050      0.681839E-04
   0.741916     -0.103200E-03
   0.762928     -0.184095E-03
   0.784025     -0.208489E-03
   0.805148     -0.208347E-03
   0.826265     -0.199814E-03
   0.847345     -0.190767E-03
   0.868344     -0.183617E-03
   0.889206     -0.178095E-03
   0.909869     -0.173789E-03
   0.930251     -0.170387E-03
   0.950208     -0.167670E-03
   0.969549     -0.165479E-03
   0.988107     -0.127461E-03
    1.00000     -0.101051E-03
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05935       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15634       0.00000    
    1.18902       0.00000    
    1.22598       0.00000    
    1.26779       0.00000    
    1.31508       0.00000    
    1.36857       0.00000    
    1.42906       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66242       0.00000    
    1.76143       0.00000    
    1.87342       0.00000    
    2.00008       0.00000    

