#  BL207                                           
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =  2500000
#  Ncrit =   9.0000
#
#    x           cf
    0.00000      0.140986E-01
   0.351000E-03  0.534852E-02
   0.773000E-03  0.154930E-01
   0.186300E-02  0.125235E-01
   0.330300E-02  0.168999E-01
   0.513300E-02  0.109908E-01
   0.734100E-02  0.558719E-02
   0.977500E-02  0.629858E-02
   0.124010E-01  0.565890E-02
   0.152230E-01  0.505418E-02
   0.182530E-01  0.441585E-02
   0.215010E-01  0.373890E-02
   0.249780E-01  0.328538E-02
   0.286950E-01  0.314571E-02
   0.326740E-01  0.296454E-02
   0.369450E-01  0.275317E-02
   0.415390E-01  0.249757E-02
   0.464930E-01  0.226897E-02
   0.518500E-01  0.211237E-02
   0.576640E-01  0.204161E-02
   0.640000E-01  0.195058E-02
   0.709370E-01  0.187188E-02
   0.785630E-01  0.179175E-02
   0.869850E-01  0.173617E-02
   0.963170E-01  0.167318E-02
   0.106669      0.161757E-02
   0.118124      0.155182E-02
   0.130719      0.148376E-02
   0.144434      0.139372E-02
   0.159235      0.130551E-02
   0.175114      0.121090E-02
   0.192030      0.111538E-02
   0.209886      0.102090E-02
   0.228541      0.929092E-03
   0.247837      0.852834E-03
   0.267632      0.793700E-03
   0.287821      0.741339E-03
   0.308322      0.684247E-03
   0.329078      0.627611E-03
   0.350035      0.586547E-03
   0.371127      0.574440E-03
   0.392291      0.572666E-03
   0.413478      0.579458E-03
   0.434653      0.582664E-03
   0.455796      0.581035E-03
   0.476899      0.570994E-03
   0.497967      0.559850E-03
   0.519012      0.809582E-03
   0.540066      0.243841E-02
   0.561190      0.396252E-02
   0.582451      0.457630E-02
   0.603841      0.467023E-02
   0.625260      0.461531E-02
   0.646633      0.448469E-02
   0.667990      0.428916E-02
   0.689407      0.408200E-02
   0.710914      0.388850E-02
   0.732502      0.370912E-02
   0.754161      0.353974E-02
   0.775895      0.337540E-02
   0.797697      0.323216E-02
   0.819540      0.311469E-02
   0.841377      0.301054E-02
   0.863153      0.290250E-02
   0.884809      0.278873E-02
   0.906276      0.266533E-02
   0.927469      0.252443E-02
   0.948233      0.235419E-02
   0.968357      0.212628E-02
   0.987648      0.183289E-02
    1.00000      0.117623E-02
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05936       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15635       0.00000    
    1.18903       0.00000    
    1.22599       0.00000    
    1.26780       0.00000    
    1.31509       0.00000    
    1.36857       0.00000    
    1.42907       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66241       0.00000    
    1.76141       0.00000    
    1.87339       0.00000    
    2.00003       0.00000    

   0.115300E-02  0.389936E-02
   0.257900E-02  0.436965E-02
   0.436900E-02  0.109534E-01
   0.653100E-02  0.506700E-02
   0.894900E-02  0.620426E-02
   0.115160E-01  0.576979E-02
   0.142450E-01  0.522972E-02
   0.171480E-01  0.459466E-02
   0.202380E-01  0.397362E-02
   0.235220E-01  0.339448E-02
   0.270110E-01  0.304746E-02
   0.307170E-01  0.284021E-02
   0.346660E-01  0.254684E-02
   0.388860E-01  0.225908E-02
   0.434070E-01  0.201531E-02
   0.482680E-01  0.182111E-02
   0.535080E-01  0.180536E-02
   0.591810E-01  0.187216E-02
   0.653460E-01  0.189378E-02
   0.720750E-01  0.188477E-02
   0.794570E-01  0.177838E-02
   0.876030E-01  0.165229E-02
   0.966400E-01  0.152868E-02
   0.106698      0.144651E-02
   0.117882      0.137878E-02
   0.130259      0.131265E-02
   0.143830      0.125421E-02
   0.158574      0.119444E-02
   0.174493      0.115072E-02
   0.191551      0.110633E-02
   0.209632      0.107515E-02
   0.228549      0.104588E-02
   0.248098      0.101671E-02
   0.268118      0.982149E-03
   0.288498      0.954449E-03
   0.309139      0.946939E-03
   0.329942      0.961987E-03
   0.350798      0.991198E-03
   0.371581      0.105051E-02
   0.392219      0.108486E-02
   0.412744      0.104793E-02
   0.433246      0.972309E-03
   0.453768      0.912704E-03
   0.474290      0.871431E-03
   0.494789      0.834121E-03
   0.515276      0.786272E-03
   0.535779      0.734539E-03
   0.556299      0.692055E-03
   0.576813      0.658004E-03
   0.597313      0.615947E-03
   0.617833      0.554583E-03
   0.638414      0.487744E-03
   0.659046      0.435657E-03
   0.679686      0.392359E-03
   0.700331      0.329859E-03
   0.721050      0.233192E-03
   0.741916      0.141217E-03
   0.762928      0.864684E-04
   0.784025      0.619736E-04
   0.805148      0.522251E-04
   0.826265      0.532658E-04
   0.847345      0.687425E-04
   0.868344      0.116197E-03
   0.889206      0.801783E-03
   0.909869      0.203417E-02
   0.930251      0.283164E-02
   0.950208      0.313968E-02
   0.969549      0.314349E-02
   0.988107      0.309991E-02
    1.00000      0.195843E-02
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05936       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15635       0.00000    
    1.18903       0.00000    
    1.22599       0.00000    
    1.26780       0.00000    
    1.31509       0.00000    
    1.36857       0.00000    
    1.42907       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66241       0.00000    
    1.76141       0.00000    
    1.87339       0.00000    
    2.00003       0.00000    

