#  BL207                                           
#  alpha =   1.0000
#  Mach  =   0.0000
#  Reyn  = 25000000
#  Ncrit =   9.0000
#
#    x           cf
    0.00000      0.567995E-03
   0.351000E-03  0.250140E-02
   0.773000E-03  0.217541E-02
   0.186300E-02  0.426210E-02
   0.330300E-02  0.362176E-02
   0.513300E-02  0.370779E-02
   0.734100E-02  0.168901E-02
   0.977500E-02  0.223600E-02
   0.124010E-01  0.184523E-02
   0.152230E-01  0.169426E-02
   0.182530E-01  0.150056E-02
   0.215010E-01  0.129017E-02
   0.249780E-01  0.115599E-02
   0.286950E-01  0.112369E-02
   0.326740E-01  0.105277E-02
   0.369450E-01  0.975923E-03
   0.415390E-01  0.885921E-03
   0.464930E-01  0.809275E-03
   0.518500E-01  0.758182E-03
   0.576640E-01  0.736065E-03
   0.640000E-01  0.698382E-03
   0.709370E-01  0.666884E-03
   0.785630E-01  0.634516E-03
   0.869850E-01  0.612624E-03
   0.963170E-01  0.586704E-03
   0.106669      0.564710E-03
   0.118124      0.539234E-03
   0.130719      0.514510E-03
   0.144434      0.482998E-03
   0.159235      0.457229E-03
   0.175114      0.153722E-02
   0.192030      0.425796E-02
   0.209886      0.468554E-02
   0.228541      0.425770E-02
   0.247837      0.401618E-02
   0.267632      0.387241E-02
   0.287821      0.375834E-02
   0.308322      0.365193E-02
   0.329078      0.355233E-02
   0.350035      0.346668E-02
   0.371127      0.340340E-02
   0.392291      0.335007E-02
   0.413478      0.330718E-02
   0.434653      0.326655E-02
   0.455796      0.322689E-02
   0.476899      0.318276E-02
   0.497967      0.312966E-02
   0.519012      0.306448E-02
   0.540066      0.298701E-02
   0.561190      0.289105E-02
   0.582451      0.278750E-02
   0.603841      0.270653E-02
   0.625260      0.266170E-02
   0.646633      0.261734E-02
   0.667990      0.254795E-02
   0.689407      0.246775E-02
   0.710914      0.238729E-02
   0.732502      0.230764E-02
   0.754161      0.222787E-02
   0.775895      0.214638E-02
   0.797697      0.207310E-02
   0.819540      0.201215E-02
   0.841377      0.195786E-02
   0.863153      0.190105E-02
   0.884809      0.184042E-02
   0.906276      0.177410E-02
   0.927469      0.169811E-02
   0.948233      0.160593E-02
   0.968357      0.148023E-02
   0.987648      0.132357E-02
    1.00000      0.901733E-03
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05935       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15634       0.00000    
    1.18902       0.00000    
    1.22598       0.00000    
    1.26779       0.00000    
    1.31508       0.00000    
    1.36857       0.00000    
    1.42906       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66242       0.00000    
    1.76143       0.00000    
    1.87342       0.00000    
    2.00008       0.00000    

   0.115300E-02  0.283797E-02
   0.257900E-02  0.265159E-02
   0.436900E-02  0.423821E-02
   0.653100E-02  0.178259E-02
   0.894900E-02  0.192311E-02
   0.115160E-01  0.199154E-02
   0.142450E-01  0.168701E-02
   0.171480E-01  0.144257E-02
   0.202380E-01  0.120217E-02
   0.235220E-01  0.982460E-03
   0.270110E-01  0.867988E-03
   0.307170E-01  0.813354E-03
   0.346660E-01  0.713684E-03
   0.388860E-01  0.615533E-03
   0.434070E-01  0.534191E-03
   0.482680E-01  0.469813E-03
   0.535080E-01  0.484424E-03
   0.591810E-01  0.529273E-03
   0.653460E-01  0.548894E-03
   0.720750E-01  0.555881E-03
   0.794570E-01  0.522033E-03
   0.876030E-01  0.481672E-03
   0.966400E-01  0.441898E-03
   0.106698      0.418631E-03
   0.117882      0.399981E-03
   0.130259      0.381325E-03
   0.143830      0.366229E-03
   0.158574      0.353497E-03
   0.174493      0.197087E-02
   0.191551      0.334869E-02
   0.209632      0.334047E-02
   0.228549      0.311409E-02
   0.248098      0.299788E-02
   0.268118      0.292474E-02
   0.288498      0.287050E-02
   0.309139      0.283471E-02
   0.329942      0.281804E-02
   0.350798      0.281651E-02
   0.371581      0.284194E-02
   0.392219      0.286345E-02
   0.412744      0.284936E-02
   0.433246      0.281126E-02
   0.453768      0.277856E-02
   0.474290      0.275399E-02
   0.494789      0.273052E-02
   0.515276      0.269928E-02
   0.535779      0.266340E-02
   0.556299      0.263104E-02
   0.576813      0.260296E-02
   0.597313      0.256960E-02
   0.617833      0.252269E-02
   0.638414      0.246970E-02
   0.659046      0.242460E-02
   0.679686      0.238601E-02
   0.700331      0.233630E-02
   0.721050      0.226095E-02
   0.741916      0.218200E-02
   0.762928      0.212386E-02
   0.784025      0.208376E-02
   0.805148      0.204864E-02
   0.826265      0.201455E-02
   0.847345      0.197999E-02
   0.868344      0.194485E-02
   0.889206      0.190633E-02
   0.909869      0.186308E-02
   0.930251      0.181180E-02
   0.950208      0.174805E-02
   0.969549      0.165577E-02
   0.988107      0.155203E-02
    1.00000      0.108490E-02
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05935       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15634       0.00000    
    1.18902       0.00000    
    1.22598       0.00000    
    1.26779       0.00000    
    1.31508       0.00000    
    1.36857       0.00000    
    1.42906       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66242       0.00000    
    1.76143       0.00000    
    1.87342       0.00000    
    2.00008       0.00000    

